0.1,H,S,V,,red lower,,,red upper,,,green lower,,,green upper,,,blue lower,,,blue upper,,
red lower,,,,,H,S,V,H,S,V,H,S,V,H,S,V,H,S,V,H,S,V
red upper,,,,0.1,121,100,0,255,255,255,33,54,66,72,255,255,81,0,0,113,255,255
green lower,,,,0.2,172,110,0,255,255,255,35,40,86,75,255,255,75,0,0,109,255,255
green upper,,,,0.3,116,116,0,255,255,255,38,47,71,77,255,255,71,48,0,117,255,255
blue lower,,,,0.4,121,123,0,255,255,255,39,48,73,78,255,255,73,34,0,110,255,255
blue upper,,,,0.5,134,108,0,255,255,255,33,63,100,65,255,255,69,43,0,121,255,255
,,,,average,132.8,111.4,0,255,255,255,35.6,50.4,79.2,73.4,255,255,73.8,25,0,114,255,255
0.2,H,S,V,,,,,,,,,,,,,,,,,,,
red lower,,,,,,,,,,,,,,,,,,,,,,
red upper,,,,,,,,,,,,,,,,,,,,,,
green lower,,,,,,,,,,,,,,,,,,,,,,
green upper,,,,,,,,,,,,,,,,,,,,,,
blue lower,,,,,,,,,,,,,,,,,,,,,,
blue upper,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.3,H,S,V,,,,,,,,,,,,,,,,,,,
red lower,,,,,,,,,,,,,,,,,,,,,,
red upper,,,,,,,,,,,,,,,,,,,,,,
green lower,,,,,,,,,,,,,,,,,,,,,,
green upper,,,,,,,,,,,,,,,,,,,,,,
blue lower,,,,,,,,,,,,,,,,,,,,,,
blue upper,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.4,H,S,V,,,,,,,,,,,,,,,,,,,
red lower,,,,,,,,,,,,,,,,,,,,,,
red upper,,,,,,,,,,,,,,,,,,,,,,
green lower,,,,,,,,,,,,,,,,,,,,,,
green upper,,,,,,,,,,,,,,,,,,,,,,
blue lower,,,,,,,,,,,,,,,,,,,,,,
blue upper,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.5,H,S,V,,,,,,,,,,,,,,,,,,,
red lower,,,,,,,,,,,,,,,,,,,,,,
red upper,,,,,,,,,,,,,,,,,,,,,,
green lower,,,,,,,,,,,,,,,,,,,,,,
green upper,,,,,,,,,,,,,,,,,,,,,,
blue lower,,,,,,,,,,,,,,,,,,,,,,
blue upper,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
0.5,H,S,V,,,,,,,,,,,,,,,,,,,
red lower,,,,,,,,,,,,,,,,,,,,,,
red upper,,,,,,,,,,,,,,,,,,,,,,
green lower,,,,,,,,,,,,,,,,,,,,,,
green upper,,,,,,,,,,,,,,,,,,,,,,
blue lower,,,,,,,,,,,,,,,,,,,,,,
blue upper,,,,,,,,,,,,,,,,,,,,,,
